책제목,저자,Lexile,소장위치,등록번호,대출상태,청구기호
Moon,Lydia Carlin,470,[영어]부산영어도서관 400-490L,BGE000056971,대출가능,400~490L 813-2116
Goose Goes to the Zoo,Laura Wall,460,[영어]부산영어도서관 400-490L,BGE000081204,대출불가(관외대출중),400~490L 813-2666
Africa,Rebecca Hirsch,460,[영어]부산영어도서관 400-490L,BGE000013746,대출가능,400~490L 911-1-1
Iris And Walter And The Sub,Elissa Haden Guest,470,[영어]부산영어도서관 400-490L,BGE000064868,대출불가(관외대출중),400~490L 813-684-10
Ants,Melissa Stewart,470,[영어]부산영어도서관 400-490L,BGE000042003,대출가능,400~490L 597-3-1-1
Frank Pearl in the Awful Waffle Kerfuffle,Megan McDonald,470,[영어]부산영어도서관 400-490L,BGE000048649,대출불가(관외대출중),400~490L 813-1645-4
Sloths,Marysa Storm,460,[영어]부산영어도서관 400-490L,BGE000060377,대출가능,400~490L 428-38-1
This Little Chick,John Lawrence,460,[영어]부산영어도서관 400-490L,BGE000025376,대출가능,400~490L 813-358
Boxes For Katje,Candace Fleming,460,[영어]부산영어도서관 400-490L,BGE000071877,대출가능,400~490L 823-288
When The Moon Forgot,Jimmy Liao,460,[영어]부산영어도서관 400-490L,BGE000047201,대출가능,400~490L 895-6
Snowshoe Hare's Family,Stephanie Smith,460,[영어]부산영어도서관 400-490L,BGE000015344,대출가능,400~490L 813-231
Who Let The Ghosts Out?,R  L Stine,460,[영어]부산영어도서관 400-490L,BGE000014854,대출가능,400~490L 813-174-1
Ralph Tells A Story,Abby Hanlon,460,[영어]부산영어도서관 400-490L,BGE000071889,대출가능,400~490L 823-289
Skater's Secret,Jake Maddox,460,[영어]부산영어도서관 400-490L,BGE000044182,대출가능,400~490L 813-1218-5=2
Nathan Blows Out The Hanukkah Candles,Tami Lehman-Wilzig,460,[영어]부산영어도서관 400-490L,BGE000040508,대출가능,400~490L 813-1286
Have I Got A Book For You!,Melanie Watt,460,[영어]부산영어도서관 400-490L,BGE000035866,대출가능,400~490L 813-887
Keeping You A Secret,Julie Anne Peters,460,[영어]부산영어도서관 400-490L,BGE000042340,대출가능,400~490L 813-1364
Always Prayer Shawl,Sheldon Oberman,460,[영어]부산영어도서관 400-490L,BGE000030590,대출가능,400~490L 813-565
Case Of The Mixed-Up Mutts,Dori Hillestad Butler,460,[영어]부산영어도서관 400-490L,BGE000030599,대출가능,400~490L 813-560-2
Case Of The Library Monster,Dori Hillestad Butler,460,[영어]부산영어도서관 400-490L,BGE000043470,대출가능,400~490L 813-560-5
Cody and the Mysteries of the Universe,Tricia Springstubb,460,[영어]부산영어도서관 400-490L,BGE000057206,대출가능,400~490L 813-2291
Horrible Harry On The Ropes,Suzy Kline,460,[영어]부산영어도서관 400-490L,BGE000067912,대출가능,400~490L 813-63-24
Haunted,R  L Stine,460,[영어]부산영어도서관 400-490L,BGE000069345,대출가능,400~490L 813-2448
Super Happy Magic Forest,Matty Long,460,[영어]부산영어도서관 400-490L,BGE000052327,대출가능,400~490L 823-160
Whatever Happened To The Pony Express?,Verla Kay,460,[영어]부산영어도서관 400-490L,BGE000044170,대출가능,400~490L 813-1455=2
Cowgirl Kate and Cocoa: Partners,Erica Silverman,460,[영어]부산영어도서관 400-490L,BGE000028684,대출가능,400~490L 813-508-2
"Story Of Babar, The Little Elephant",Jean De Brunhoff,460,[영어]부산영어도서관 400-490L,BGE000054384,대출가능,400~490L 843-9=2
The Show-And-Tell Surprise,Norman Bridwell,460,[영어]부산영어도서관 400-490L,BGE000079374,대출불가(관외대출중),400~490L 813-19-1=2
On Guard,Donna Jo Napoli,460,[영어]부산영어도서관 500-590L,BGE000080660,대출불가(관외대출중),500~590L 741-42
Biggest Boy,Kevin Henkes,460,[영어]부산영어도서관 400-490L,BGE000027962,대출가능,400~490L 813-515
One Of Three,Angela Johnson,460,[영어]부산영어도서관 400-490L,BGE000002041,대출불가(관외대출중),400~490L 813-53
Firefighter Ted,Andrea Beaty,460,[영어]부산영어도서관 400-490L,BGE000040526,대출가능,400~490L 813-1272
Moses Goes To School,Isaac Millman,460,[영어]부산영어도서관 400-490L,BGE000038616,대출가능,400~490L 813-1098
Jamaica's Find,Juanita Havill,460,[영어]부산영어도서관 400-490L,BGE000042476,대출가능,-
Army Ant Parade,April Pulley Sayre,460,[영어]부산영어도서관 400-490L,BGE000031886,대출가능,400~490L 595-7
Rosetta's Dress Mess,Laura Driscoll,460,[영어]부산영어도서관 400-490L,BGE000042202,대출가능,400~490L 813-1361
Because A Little Bug Went Kachoo,Rosetta Stone,460,[영어]부산영어도서관 400-490L,BGE000038394,대출가능,400~490L 813-1877-8
Our Stars,Anne Rockwell,460,[영어]부산영어도서관 400-490L,BGE000053560,대출가능,400~490L 523-11
Doggone...Third Grade!,Colleen O Shaughnessy McKenna,460,[영어]부산영어도서관 400-490L,BGE000003685,대출가능,400~490L 813-76
Dinosaur's Day,Ruth Thomson,460,[영어]부산영어도서관 400-490L,BGE000081499,대출가능,400~490L 428-44-1-7
Pizza,Frank Asch,460,[영어]부산영어도서관 400-490L,BGE000063180,대출가능,400~490L 823-234-1
Rosa Parks,Erin Edison,460,[영어]부산영어도서관 400-490L,BGE000073381,대출불가(관외대출중),400~490L 920-18-3
Julius,Syd Hoff,460,[영어]부산영어도서관 400-490L,BGE000052826,대출가능,400~490L 813-835-3-8
Bluish,Virginia Hamilton,460,[영어]부산영어도서관 400-490L,BGE000006283,대출불가(관외대출중),400~490L 813-133
Autumn,Gail Saunders-Smith,460,[영어]부산영어도서관 400-490L,BGE000063098,대출가능,400~490L 508-11-1
Iris And Walter The School Play,Elissa Haden Guest,460,[영어]부산영어도서관 400-490L,BGE000045161,대출불가(관외대출중),400~490L 813-44-5
Blood Red Road,Moira Young,460,[영어]부산영어도서관 400-490L,BGE000043785,대출가능,400~490L 823-115
Madeline's Rescue,Ludwig Bemelmans,460,[영어]부산영어도서관 400-490L,BGE000026389,대출가능,400~490L 813-269-3
Let's Meet A Police Officer,Gina Bellisario,460,[영어]부산영어도서관 400-490L,BGE000052693,대출가능,400~490L 363-3
Hurricane,David Wiesner,460,[영어]부산영어도서관 400-490L,BGE000022777,대출가능,400~490L 813-449
Back On The Beam,Jake Maddox,460,[영어]부산영어도서관 400-490L,BGE000044176,대출가능,400~490L 813-1218-3=2
Tasting (Rookie Read-About Health),Sharon Gordon,460,[영어]부산영어도서관 400-490L,BGE000001765,대출가능,400~490L 610-1-H-5
I Can Only Draw Worms,Will Mabbitt,460,[영어]부산영어도서관 400-490L,BGE000062263,대출가능,400~490L 823-218
Cowgirl Kate And Cocoa: School Days,Erica Silverman,460,[영어]부산영어도서관 400-490L,BGE000028688,대출가능,400~490L 813-508-3
Fire Station,Robert Munsch,460,[영어]부산영어도서관 400-490L,BGE000047564,대출가능,400~490L 813-937-16
Jane Goodall,Jennie Abrams,460,[영어]부산영어도서관 500-590L,BGE000057740,대출가능,500~590L 920-17-22=2
Zoom!,Robert Munsch,460,[영어]부산영어도서관 400-490L,BGE000053548,대출가능,400~490L 813-1949
Iris And Walter,Elissa Haden Guest,460,[영어]부산영어도서관 400-490L,BGE000053041,대출가능,400~490L 813-684-3=2
Important Book,Margaret Wise Brown,460,[영어]부산영어도서관 400-490L,BGE000037834,대출가능,400~490L 813-1004
Zen Ties,Jon J Muth,460,[영어]부산영어도서관 400-490L,BGE000015241,대출불가(관외대출중),400~490L 813-207
The Magic School Bus Flies With The Dinosaurs,Martin Schwabacher,460,[영어]부산영어도서관 400-490L,BGE000072112,대출가능,400~490L 508-12-9=2
A Friend for Dragon,Dav Pilkey,460,[영어]부산영어도서관 400-490L,BGE000055256,대출가능,400~490L 813-2018
Trucks,Dee Ready,460,[영어]부산영어도서관 400-490L,BGE000067458,대출가능,400~490L 597-3-1-3
I Need a New Bum!,Dawn McMillan,460,[영어]부산영어도서관 400-490L,BGE000069305,대출불가(관외대출중),400~490L 823-209-1
Horrible Harry Moves Up To Third Grade,Suzy Kline,460,[영어]부산영어도서관 400-490L,BGE000067904,대출가능,400~490L 813-63-10
Chrysanthemum,Kevin Henkes,460,[영어]부산영어도서관 400-490L,BGE000000949,대출가능,400~490L 813-28
When You Look Up At The Moon,Allan Fowler,460,[영어]부산영어도서관 400-490L,BGE000011267,대출가능,400~490L 500-2-S-6
The Magic School Bus® and the Missing Tooth,Jeanette Lane,460,[영어]부산영어도서관 400-490L,BGE000043024,대출가능,400~490L 508-12-10
Do Unto Otters,Laurie Keller,460,[영어]부산영어도서관 400-490L,BGE000014494,대출가능,400~490L 813-196
Cinderella,Seth Jacobs,460,[영어]부산영어도서관 400-490L,BGE000042706,대출가능,400~490L 398-38
Iris And Walter And Baby Rose,Elissa Haden Guest,460,[영어]부산영어도서관 400-490L,BGE000045159,대출불가(관외대출중),400~490L 813-684-4
Story Of Peppa Pig,Neville Astley,460,[영어]부산영어도서관 400-490L,BGE000047431,대출가능,400~490L 813-2375-3-1
Not Norman: A Goldfish Story,Kelly Bennett,460,[영어]부산영어도서관 400-490L,BGE000032421,대출불가(관외대출중),400~490L 813-657
Saturn,Christine Taylor-Butler,450,[영어]부산영어도서관 400-490L,BGE000027328,대출가능,400~490L 523-7
Big Bear Hug,Nicholas Oldland,450,[영어]부산영어도서관 400-490L,BGE000039660,대출가능,400~490L 813-956-1
Gymnastics,Wil Mara,450,[영어]부산영어도서관 400-490L,BGE000049937,대출가능,400~490L 813-1404-3
My City Speaks,Darren Lebeuf,450,[영어]부산영어도서관 400-490L,BGE000071139,대출가능,400~490L 813-2401
Gulliver's Travels,Adam Grant,450,[영어]부산영어도서관 400-490L,BGE000034891,대출가능,400~490L 813-835-2-10
Tiny Life  on Your Body,Christine Taylor-Butler,450,[영어]부산영어도서관 400-490L,BGE000011217,대출가능,400~490L 500-2-S-19
Not for Me,Ellen Geist,450,[영어]부산영어도서관 400-490L,BGE000059233,대출가능,400~490L 628-3
South  America,Rebecca Hirsch,450,[영어]부산영어도서관 400-490L,BGE000014132,대출가능,400~490L 911-1-7
Fly Away Home,Eve Bunting,450,[영어]부산영어도서관 400-490L,BGE000032149,대출가능,400~490L 813-727
Earthmovers,Lee Sullivan Hill,450,[영어]부산영어도서관 400-490L,BGE000039669,대출가능,400~490L 621-11
Rachel Fister's Blister,Amy MacDonald,450,[영어]부산영어도서관 400-490L,BGE000046051,대출가능,400~490L 813-1482=2
First Day,Joan Rankin,450,[영어]부산영어도서관 400-490L,BGE000056192,대출가능,400~490L 813-2093
Art Collector,Jan Wahl,450,[영어]부산영어도서관 400-490L,BGE000049084,대출가능,400~490L 813-1657
Horace the Horrible: A Knight.,Jackie French Koller,450,[영어]부산영어도서관 400-490L,BGE000042511,대출가능,400~490L 813-1383
Trout Are Made Of Trees,April Pulley Sayre,450,[영어]부산영어도서관 400-490L,BGE000030674,대출가능,400~490L 577-7
Monkey And Elephant's Worst Fight Ever!,Michael Townsend,450,[영어]부산영어도서관 400-490L,BGE000042932,대출가능,400~490L 813-1413
Walter Warthog's Wonderful Wagon,Barbara deRubertis,450,[영어]부산영어도서관 400-490L,BGE000040500,대출가능,400~490L 813-1255-W
Case Of The Lost Boy,Dori Hillestad Butler,450,[영어]부산영어도서관 400-490L,BGE000030597,대출가능,400~490L 813-560-1
The Leaf Thief,Alice Hemming,450,[영어]부산영어도서관 400-490L,BGE000079814,대출가능,400~490L 813-2647-2
Azad's Camel,Erika Pal,450,[영어]부산영어도서관 400-490L,BGE000037391,대출가능,400~490L 813-1003
Like Bug Juice On A Burger,Julie Sternberg,450,[영어]부산영어도서관 400-490L,BGE000047930,대출가능,400~490L 813-1617
Duck For Turkey Day,Jacqueline Jules,450,[영어]부산영어도서관 400-490L,BGE000038461,대출가능,400~490L 398-28
Pooh's Sled Ride,Isabel Gaines,450,[영어]부산영어도서관 400-490L,BGE000010329,대출가능,400~490L 813-166-12
Monster Trucks,Nick Gordon,450,[영어]부산영어도서관 400-490L,BGE000055770,대출가능,400~490L 813-2062
Meerkats,Kari Schuetz,450,[영어]부산영어도서관 400-490L,BGE000031707,대출가능,400~490L 813-562
Dog Loves Books,Louise Yates,450,[영어]부산영어도서관 400-490L,BGE000033702,대출가능,400~490L 813-876
Shoes,Elizabeth Winthrop,450,[영어]부산영어도서관 400-490L,BGE000073207,대출가능,400~490L 813-2527
Arthur And The Perfect Brother,Marc Brown,450,[영어]부산영어도서관 400-490L,BGE000031888,대출가능,400~490L 813-772-21
Move!,Steve Jenkins,450,[영어]부산영어도서관 400-490L,BGE000069541,대출가능,400~490L 508-21-1
Gleam And Glow,Eve Bunting,450,[영어]부산영어도서관 400-490L,BGE000032162,대출불가(관외대출중),400~490L 813-735
Astronauts,Carmen Bredeson,450,[영어]부산영어도서관 400-490L,BGE000077884,대출가능,400~490L 508-23-2
"Can't You Sleep, Little Bear?",Martin Waddell,450,[영어]부산영어도서관 400-490L,BGE000019412,대출가능,400~490L 823-39
Heckedy Peg,Audrey Wood,450,[영어]부산영어도서관 400-490L,BGE000062772,대출가능,400~490L 813-276=2
"Snow Rabbit, Spring Rabbit",Il Sung Na,450,[영어]부산영어도서관 400-490L,BGE000037579,대출가능,400~490L 813-989
Case Of The Purple Pool,Lewis Montgomery,450,[영어]부산영어도서관 400-490L,BGE000042131,대출불가(관외대출중),400~490L 813-1363-7
Smelly Socks,Robert Munsch,450,[영어]부산영어도서관 400-490L,BGE000042634,대출가능,400~490L 813-931-1
Horrible Harry's Secret,Suzy Kline,450,[영어]부산영어도서관 400-490L,BGE000077990,대출가능,400~490L 813-63-5
Gingerbread Man,Jim Aylesworth,450,[영어]부산영어도서관 400-490L,BGE000065934,대출가능,400~490L 823-255-8
Horrible Harry Goes To The Moon,Suzy Kline,450,[영어]부산영어도서관 400-490L,BGE000067905,대출가능,400~490L 813-63-11
Looking Through A Microscope,Linda Bullock,450,[영어]부산영어도서관 400-490L,BGE000011036,대출가능,400~490L 500-2-S-32
Princess Of The Fillmore Street School,Marjorie Weinman Sharmat,450,[영어]부산영어도서관 400-490L,BGE000047706,대출가능,400~490L 813-552-2=3
Bears,National Geographic,450,[영어]부산영어도서관 400-490L,BGE000048529,대출가능,400~490L 813-1660-1
Tasting,Helen Frost,450,[영어]부산영어도서관 400-490L,BGE000001765,대출가능,400~490L 610-1-H-5
Great Salt Lake,Mary Schulte,450,[영어]부산영어도서관 400-490L,BGE000015016,대출가능,400~490L 900-1-G-30
Things That Are Most In The World,Judi Barrett,450,[영어]부산영어도서관 400-490L,BGE000036378,대출가능,400~490L 813-905
Bears,Melvin Berger,450,[영어]부산영어도서관 400-490L,BGE000048529,대출가능,400~490L 813-1660-1
Wind,Ann Herriges,450,[영어]부산영어도서관 400-490L,BGE000057279,대출가능,400~490L 577-12-6
Pigs,Robert Munsch,450,[영어]부산영어도서관 400-490L,BGE000057040,대출가능,400~490L 813-2126
"Nancy Clancy, Super Sleuth",Jane O Connor,450,[영어]부산영어도서관 400-490L,BGE000047199,대출불가(관외대출중),400~490L 813-1586-1
Tarantula,Jenny Feely,450,[영어]부산영어도서관 400-490L,BGE000043068,대출가능,400~490L 595-9
Will It Float Or Sink?,Melissa Stewart,450,[영어]부산영어도서관 400-490L,BGE000011273,대출가능,400~490L 500-2-S-38
Squirrel's New Year's Resolution,Pat Miller,450,[영어]부산영어도서관 400-490L,BGE000038748,대출가능,400~490L 813-1144
Molly's Pilgrim,Barbara Cohen,450,[영어]부산영어도서관 400-490L,BGE000003757,대출가능,400~490L 813-73
Word After Word After Word,Patricia MacLachlan,450,[영어]부산영어도서관 400-490L,BGE000033145,대출가능,400~490L 813-653
Iris And Walter True Friends,Elissa Haden Guest,450,[영어]부산영어도서관 400-490L,BGE000045158,대출불가(관외대출중),400~490L 813-44-2
Emma's Strange Pet,Jean Little,450,[영어]부산영어도서관 400-490L,BGE000045398,대출가능,400~490L 808-4-3-24
Ninja!,Arree Chung,450,[영어]부산영어도서관 400-490L,BGE000071993,대출가능,400~490L 823-302-2-3
Meerkats,Laura Marsh,450,[영어]부산영어도서관 400-490L,BGE000031707,대출가능,400~490L 813-562
Song Lee And The Hamster Hunt,Suzy Kline,450,[영어]부산영어도서관 400-490L,BGE000007114,대출가능,400~490L 813-46-1
The Gingerbread Man,Jim Aylesworth,450,[영어]부산영어도서관 400-490L,BGE000065934,대출가능,400~490L 823-255-8
The Big Bad Cold,Norman Bridwell,450,[영어]부산영어도서관 400-490L,BGE000079369,대출불가(관외대출중),400~490L 813-19-5
Mercy Watson to the Rescue,Kate DiCamillo,450,[영어]부산영어도서관 400-490L,BGE000070376,대출가능,400~490L 813-190-1=4
Amelia Bedelia Bakes Off,Herman Parish,450,[영어]부산영어도서관 400-490L,BGE000033488,대출가능,400~490L 813-809-2
Helen Keller,David A Adler,450,[영어]부산영어도서관 400-490L,BGE000004186,대출가능,400~490L 362-1
"Blue Skies, French Fries",Judy Delton,450,[영어]부산영어도서관 400-490L,BGE000042090,대출가능,400~490L 813-1355-2
Clifford's Family,Norman Bridwell,450,[영어]부산영어도서관 400-490L,BGE000000901,대출불가(관외대출중),400~490L 813-17-13
Dragon's Fat Cat,Dav Pilkey,450,[영어]부산영어도서관 400-490L,BGE000062954,대출가능,400~490L 813-2337-2=2
